,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
MACD,0.5091698243352765,0.5073083210239749,0.5001792677224175,0.50737644745604,-0.1472911759162972,0.04964656095545162,0.03332215767765483,0.28461237189325134,-0.30428161415783805,0.013743245840284513,0.12372972229131887,0.06921332075777685,0.33434978930311915,0.7693237040265106,1.0,0.9077557261953295,0.4811228297972383,-0.05366924508683215,0.49007838904592727,0.624513281001434,0.17199874792440134,-0.2118621347148032,-0.03926894217679062,0.5422064470467906,-0.03964539507343093,-0.21726644661783776
MACD_Signal,0.4846496865060066,0.47526228550362265,0.47023481969203446,0.472277762853317,-0.17902654997816178,0.008923114380688664,0.04690793135047888,0.3204889867774528,-0.3456149991190517,0.012662064383307074,0.16110672365622913,0.06419505927200904,0.39681502639941585,0.5019374246952761,0.9077557261953295,1.0,0.0689867290804253,-0.05027484822047028,0.16601480563915003,0.2906416014159397,0.16556147357642073,-0.2589376005017818,-0.0392058163548405,0.18918790270914052,-0.1152806543400468,-0.2574933319251626
MACD_Hist,0.19806254666826376,0.2132531056078449,0.2068055957913764,0.21965205875074828,0.023847320311167305,0.09941809082964731,-0.018782439762975087,0.007095630720133793,-0.0013639930779167598,0.006222335382970282,-0.042431022339211616,0.030444928125205904,-0.03412625094157443,0.7806113530230064,0.4811228297972383,0.0689867290804253,1.0,-0.02256923733299327,0.8185318161294814,0.8777932767244142,0.06304894606769779,0.037285140397741875,-0.01145528607975813,0.8940721288171682,0.14662773457216496,0.021414883875895522
ATR,-0.13552460051801204,-0.11899114695794327,-0.15714257589431682,-0.14046796261751557,0.2727031834266554,0.04307558886575157,0.04160553308945871,-0.3084478442259923,0.41954732594734584,0.017639726865008913,-0.11337164901463752,0.10383839448257834,-0.1272044660595337,-0.09225712606420003,-0.05366924508683215,-0.05027484822047028,-0.02256923733299327,1.0,-0.01281077376540374,-0.00367310635961295,-0.21570180967059294,0.4688267994938242,0.026738717850030323,-0.07867061733236519,-0.03040979344368548,0.8506074673532531
Stoch_K,0.2696151636241671,0.2964475658648024,0.29565574640317027,0.3225705506726931,-0.026532394345001317,0.11129680532988402,-0.0038945637514738803,0.03196039570467746,0.025655124263187157,0.010587601495375545,0.022670508361231752,0.03997159710924061,0.06170390330128104,0.8622907654484522,0.49007838904592727,0.16601480563915003,0.8185318161294814,-0.01281077376540374,1.0,0.9001108944963617,0.09950530375232697,-0.022777770665777654,-0.0330600235344448,0.8110474768671007,0.4297703016597153,0.0028578633820781204
Stoch_D,0.3260819310778853,0.33529866616049436,0.330169311655176,0.3395730280216471,-0.047803892010390765,0.08095352061956716,-0.004497723496713603,0.046349187320569696,0.008035214268885885,0.0375202204643984,0.0339615668065535,0.04761376954589955,0.0979372556431985,0.8407346822561069,0.624513281001434,0.2906416014159397,0.8777932767244142,-0.00367310635961295,0.9001108944963617,1.0,0.1075304928692381,-0.026816484635999276,-0.058666472776320304,0.8146832307705004,0.09338760506050799,-0.00445448386364684
OBV,0.8398598346865997,0.8407363451109244,0.8450019283530915,0.839567013963243,-0.42614829759631123,0.04458078090664263,0.05104767208120104,0.8275516847220504,-0.007144764787948824,-0.018163338839524163,0.8935386961206507,0.8912183465322918,0.8736035916068596,0.13681613047457633,0.17199874792440134,0.16556147357642073,0.06304894606769779,-0.21570180967059294,0.09950530375232697,0.1075304928692381,1.0,-0.7272473255240639,-0.025487571565931042,0.07649574540743179,0.01724390861218894,-0.4902536903900897
Volume_SMA20,-0.6821631921383939,-0.6748236294182247,-0.6886073017440296,-0.6804903200483674,0.5310333512140457,-0.033085748880625786,-0.04037665995395495,-0.7957951058865429,0.292990083707365,0.0011594285475739073,-0.6766539661367119,-0.544395839876832,-0.7058696772198849,-0.1149436965599434,-0.2118621347148032,-0.2589376005017818,0.037285140397741875,0.4688267994938242,-0.022777770665777654,-0.026816484635999276,-0.7272473255240639,1.0,-0.027226733210419487,-0.03978660699588858,-0.02179518052527732,0.6988940036147678
Relative_Volume,-0.00529896584733678,0.007826183903180212,-0.026904050594232478,-0.009042590773543458,0.6776940919422676,-0.045596364844397365,-0.014999228896887389,-0.007865716101454636,-0.003136943794008405,0.07855756855846266,0.014365808671501463,-0.012290056972677196,-0.002848832869857279,-0.036936791198395366,-0.03926894217679062,-0.0392058163548405,-0.01145528607975813,0.026738717850030323,-0.0330600235344448,-0.058666472776320304,-0.025487571565931042,-0.027226733210419487,1.0,-0.011613537679302517,0.010571894497798861,0.05196817778548392
ROC,0.24378980934292027,0.2618449019677594,0.2591501593337284,0.2764950547597127,-0.02662833656652311,0.11313071316385269,0.0167436721455803,0.061694572382724626,-0.07695675398461466,-0.018458769048004323,-0.0232745210372075,0.0014491798078516117,0.024224440205693722,0.8118959196852037,0.5422064470467906,0.18918790270914052,0.8940721288171682,-0.07867061733236519,0.8110474768671007,0.8146832307705004,0.07649574540743179,-0.03978660699588858,-0.011613537679302517,1.0,0.2591125567490989,-0.05188384688415591
Daily_Return,-0.01848292882916241,0.031542735677738166,0.045065541773793155,0.08964983793009669,0.0061619758655578356,0.07875847788537278,-0.0018841145182481578,0.005248158905396335,-0.005639410395800699,-0.02546045636786365,-0.019932190637836796,-0.005123249372277364,-0.04115618076481179,0.34660710654143634,-0.03964539507343093,-0.1152806543400468,0.14662773457216496,-0.03040979344368548,0.4297703016597153,0.09338760506050799,0.01724390861218894,-0.02179518052527732,0.010571894497798861,0.2591125567490989,1.0,-0.008037889486795074
Volatility,-0.4303956580141556,-0.41672187999990584,-0.4450416631105182,-0.4329764147962894,0.4483040912803788,-0.008185957164676624,0.01882710070803649,-0.5853067712374933,0.4494803257750024,0.04260394294443388,-0.38927547324310263,-0.1643917274282261,-0.4355115887297173,-0.1494338250058713,-0.21726644661783776,-0.2574933319251626,0.021414883875895522,0.8506074673532531,0.0028578633820781204,-0.00445448386364684,-0.4902536903900897,0.6988940036147678,0.05196817778548392,-0.05188384688415591,-0.008037889486795074,1.0
