,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
SMA50,0.7886328813867481,0.7791866066918236,0.7896406827128153,0.7765536164973622,-0.0930277071421203,-0.08322874540386596,,0.7716784971940908,-0.5528136732197095,-0.022511917449571633,1.0,0.630561222415543,0.9290458387880022,-0.5158014612668325,-0.4557851803299468,-0.3924836190876316,-0.2712672038269961,0.4347861884138412,-0.3368075066551714,-0.348658264236812,0.5388454007418764,-0.48579727710731685,0.08164325431014745,-0.4217826389972561,-0.12633570405612102,0.0870158143765893
SMA200,0.35215326212798925,0.3411256068067079,0.3523592120530569,0.3444539557529599,-0.12989365255954652,-0.09616011553997515,,0.7478134734565154,0.041985695512604365,-0.020030650917358162,0.630561222415543,1.0,0.4812142169028223,-0.4776267534282228,-0.5022122871053183,-0.5194007511336993,-0.052232227287707884,0.09103793283686738,-0.21934151307669,-0.232382793471746,0.3451167503829839,-0.45566883316132784,0.035477817104474486,-0.30752771669268375,-0.08403994853864476,0.18240287723630674
EMA20,0.9308420720813638,0.9240257823867518,0.9289697818740938,0.9185497352675024,-0.1318453464718866,-0.055414742729808696,,0.7284806516432382,-0.6043882410220216,-0.025851465968649578,0.9290458387880022,0.4812142169028223,1.0,-0.31446046554039436,-0.12946140857533367,-0.032298359670035776,-0.30171402152429694,0.5818799744317347,-0.23742558164425273,-0.21396542512103775,0.4933008362801558,-0.5597285039649977,0.06156057651911483,-0.3349867075425912,-0.1392436515751448,0.2051926499920463
RSI,-0.006693613999762533,0.04030019154818118,0.026483626262142748,0.07022312100596108,-0.023371151480527163,0.10983889552685526,,-0.31444052755474633,0.12685724731648482,-0.08280054232720435,-0.5158014612668325,-0.4776267534282228,-0.31446046554039436,1.0,0.8140507761134445,0.6316021231952417,0.6813710075453955,0.08787135493895082,0.8436735587398749,0.8251181508123295,-0.26220080686067887,0.2258534513335972,-0.11439996835066947,0.852080963779028,0.359632579974431,0.09358213091935835
MACD,0.16039595174276572,0.172796294126472,0.1577655486102654,0.17099245301460247,-0.05720158678853341,0.0606246990040054,,-0.29854124076936706,0.043353021652769407,-0.0028545947514777062,-0.4557851803299468,-0.5022122871053183,-0.12946140857533367,0.8140507761134445,1.0,0.9443459987719975,0.359016741448636,0.20086535962207575,0.5501716793525155,0.6618532959150937,-0.2234568139862242,0.04777466709790336,-0.09014648459308532,0.5844727392948006,0.03947480917103947,0.2272398803666717
MACD_Signal,0.18555532651245008,0.19196679505004408,0.17563840943326142,0.18333848588655524,-0.06728514907119147,0.05804257041296193,,-0.27045368668227293,-0.04127377011484155,0.02092288639950646,-0.3924836190876316,-0.5194007511336993,-0.032298359670035776,0.6316021231952417,0.9443459987719975,1.0,0.032013159238270555,0.2574298620947665,0.32237577371093046,0.42647502097793083,-0.22237372699727498,-0.04685253852297938,-0.06893259377847888,0.3265441946890505,-0.01794671750031467,0.25634866761606917
MACD_Hist,-0.039126522928017174,-0.01964061792679473,-0.018981714055873025,-0.0006405273983652383,0.017105911926983644,0.01951850826572603,,-0.1397320037576079,0.24882789895173058,-0.06803724200765666,-0.2712672038269961,-0.052232227287707884,-0.30171402152429694,0.6813710075453955,0.359016741448636,0.032013159238270555,1.0,-0.12009251772298282,0.7569643781627061,0.8009380446518549,-0.04801269550896253,0.2780910230109016,-0.07831902540041909,0.8493571619631045,0.1708592448911788,-0.036889007640279525
ATR,0.6273179495237368,0.6579680017172449,0.6057175062411065,0.6296683324062461,0.046146067332695835,0.011802528138672514,,0.4908226635454267,-0.37947047808305184,-0.08177789526998906,0.4347861884138412,0.09103793283686738,0.5818799744317347,0.08787135493895082,0.20086535962207575,0.2574298620947665,-0.12009251772298282,1.0,0.06319758000976744,0.08683870862096768,-0.10847179930577623,-0.07731265972301304,0.05549400566766878,-0.004937335043175436,-0.01217553320659208,0.6368859562111427
Stoch_K,0.017073914506988117,0.07558448193804816,0.0617399105557207,0.12107616984294356,0.02822233307007046,0.10748190591114855,,-0.19313349247596726,0.17810481041528992,-0.11993631618908158,-0.3368075066551714,-0.21934151307669,-0.23742558164425273,0.8436735587398749,0.5501716793525155,0.32237577371093046,0.7569643781627061,0.06319758000976744,1.0,0.8943787897880682,-0.12145384670777214,0.19399193523843491,-0.05547254906445647,0.8171777314191067,0.4527687639873172,0.07734859685401375
Stoch_D,0.09049626336631214,0.1119443477267937,0.09948906726748397,0.12128266847518855,0.04210944450108235,0.0576144659977601,,-0.20176501497243463,0.18207418228928712,-0.07776949249860779,-0.348658264236812,-0.232382793471746,-0.21396542512103775,0.8251181508123295,0.6618532959150937,0.42647502097793083,0.8009380446518549,0.08683870862096768,0.8943787897880682,1.0,-0.1228665189204273,0.1864443774110913,-0.029210663217083346,0.802146597217485,0.10279034150189172,0.09193932676587617
OBV,0.4302166933008404,0.41999778116263226,0.44610235219786354,0.43637678850838385,-0.10127301419026419,-0.005167352276111121,,0.13470019000615108,-0.2138377203345119,-0.024930651057786173,0.5388454007418764,0.3451167503829839,0.4933008362801558,-0.26220080686067887,-0.2234568139862242,-0.22237372699727498,-0.04801269550896253,-0.10847179930577623,-0.12145384670777214,-0.1228665189204273,1.0,-0.348474745813414,0.02134798061188974,-0.1813554926622725,-0.0492376128772129,-0.13320939147538982
Volume_SMA20,-0.5042921944893695,-0.49442979966251754,-0.5072115775515196,-0.49775889749974794,0.2612828465057019,0.08731135477062985,,-0.514676176714595,0.3285234370079599,0.05114901600072035,-0.48579727710731685,-0.45566883316132784,-0.5597285039649977,0.2258534513335972,0.04777466709790336,-0.04685253852297938,0.2780910230109016,-0.07731265972301304,0.19399193523843491,0.1864443774110913,-0.348474745813414,1.0,-0.11653394701124023,0.26596096191574303,0.10322120298844199,-0.03246060534412765
Relative_Volume,0.037887821779110833,0.051894195306501405,0.0022896452763395284,0.02083505715472888,0.8695229108513411,-0.07990560056471084,,0.04597277706629957,-0.07197432732470894,0.1381935267062077,0.08164325431014745,0.035477817104474486,0.06156057651911483,-0.11439996835066947,-0.09014648459308532,-0.06893259377847888,-0.07831902540041909,0.05549400566766878,-0.05547254906445647,-0.029210663217083346,0.02134798061188974,-0.11653394701124023,1.0,-0.10175991046901914,-0.08832119467577648,-0.05074393064422683
ROC,-0.0505012974401921,-0.008367340186266663,-0.020492013367604207,0.01634313140062586,-0.00784186876096161,0.07255709727026607,,-0.25784579965392274,0.1794345038676279,-0.1091030512721066,-0.4217826389972561,-0.30752771669268375,-0.3349867075425912,0.852080963779028,0.5844727392948006,0.3265441946890505,0.8493571619631045,-0.004937335043175436,0.8171777314191067,0.802146597217485,-0.1813554926622725,0.26596096191574303,-0.10175991046901914,1.0,0.3305178879571244,0.04756368430069798
Daily_Return,-0.16631987210380297,-0.05038539119438661,-0.061089396049362615,0.03847853286726128,-0.037339985046573286,0.1099987502922672,,-0.06732004995433143,0.04695581012703156,-0.09131486108707454,-0.12633570405612102,-0.08403994853864476,-0.1392436515751448,0.359632579974431,0.03947480917103947,-0.01794671750031467,0.1708592448911788,-0.01217553320659208,0.4527687639873172,0.10279034150189172,-0.0492376128772129,0.10322120298844199,-0.08832119467577648,0.3305178879571244,1.0,0.0007912682532416639
Volatility,0.2559002930819886,0.2692089517332132,0.23905643613042674,0.25794035276359134,-0.03128287465781236,-0.011993183290466032,,0.27656691266066513,-0.020677212247898227,0.004586526440509024,0.0870158143765893,0.18240287723630674,0.2051926499920463,0.09358213091935835,0.2272398803666717,0.25634866761606917,-0.036889007640279525,0.6368859562111427,0.07734859685401375,0.09193932676587617,-0.13320939147538982,-0.03246060534412765,-0.05074393064422683,0.04756368430069798,0.0007912682532416639,1.0
