,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,SMA50,SMA200,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Stoch_K,Stoch_D,OBV,Volume_SMA20,Relative_Volume,ROC,Daily_Return,Volatility
SMA50,0.890523795678833,0.8942052730477217,0.8909631211290442,0.8880442514772079,0.2427423080156662,,,0.8604165047192984,-0.14001395133040712,-0.0078070463835741505,1.0,0.955239744628315,0.9646383857094347,-0.2574105235522944,-0.16464140390817292,-0.14578712589052528,-0.09115643994338313,0.8268522650417653,-0.18046793866788194,-0.18685566864999317,0.8966499882978676,0.4742813269502537,-0.044614167834846265,-0.17662196049976825,-0.06299195738587823,-0.008937245712697014
SMA200,0.86837875328987,0.8731152451740907,0.8687718450553218,0.8687106212745487,0.3178041466985654,,,0.8759509643106644,-0.06230728719356863,-0.012812336196536628,0.955239744628315,1.0,0.9213497930729125,-0.19154314159263922,-0.12500760131898023,-0.1447224696569314,0.012356926464431638,0.8310845572421548,-0.113205810266739,-0.12179691977371579,0.8491275766670485,0.5988589245932933,-0.03357333478274619,-0.10092143646331163,-0.029846059079338703,0.074602083245685
EMA20,0.9629820448320101,0.9635083666648069,0.9629745897066185,0.95932518532983,0.2105685444233315,,,0.837067699977663,-0.13377998552481601,-0.004741159715139896,0.9646383857094347,0.9213497930729125,1.0,-0.090516740164619,0.07539780041767387,0.1136015921853418,-0.07052385655692202,0.8385125084501766,-0.09717203220089768,-0.08077733402328365,0.9238107880760138,0.5043155736184556,-0.10264160950243789,-0.10170686348316242,-0.06961729034351902,-0.006338036107222592
RSI,0.14601551322301648,0.15661613116357279,0.15976378708383407,0.18242823152682539,0.1188277242908569,,,-0.1986564103937215,0.15769964198407757,0.09664970934264024,-0.2574105235522944,-0.19154314159263922,-0.090516740164619,1.0,0.8156539417293351,0.6120434506747774,0.7157549184059132,-0.06450329687097557,0.8762197058601409,0.8675743813078148,0.04055491546091869,0.14213399057349688,0.03656511526136155,0.8184106478797544,0.35627341789912037,0.188880744603945
MACD,0.28019892665544605,0.2689202438066096,0.27591261832599184,0.27663406062835705,-0.02002175891261707,,,-0.12391938345645369,0.11764015134813574,0.042843070323141205,-0.16464140390817292,-0.12500760131898023,0.07539780041767387,0.8156539417293351,1.0,0.9281276212555701,0.4514485957771928,0.05550097177329397,0.5528482506057759,0.6701386673579078,0.1196705292105663,0.19683556605927163,-0.15423736848993233,0.5622837236913916,0.003092912974518685,0.1582587678261426
MACD_Signal,0.25003291377959863,0.23642400091441146,0.24595574214898894,0.2415686577179232,-0.1277945135133814,,,-0.11054332246952844,0.04143749742576509,0.003371822153417027,-0.14578712589052528,-0.1447224696569314,0.1136015921853418,0.6120434506747774,0.9281276212555701,1.0,0.08683345146458891,0.025926618821418564,0.291701978425831,0.399157568680047,0.08928473558916027,0.1231564238339339,-0.22943481759873924,0.25948709317805413,-0.06512310414870587,0.020785603754986993
MACD_Hist,0.15053079686977852,0.15296755373705392,0.1488328812860129,0.16127921774049556,0.2527373259705917,,,-0.06665687146635248,0.21549664128170964,0.10657160978930776,-0.09115643994338313,0.012356926464431638,-0.07052385655692202,0.7157549184059132,0.4514485957771928,0.08683345146458891,1.0,0.08638290820638093,0.7802974519244503,0.8366154981309659,0.1062423351615466,0.23155714475800526,0.13718622039689832,0.8827657850394359,0.16437445251162955,0.3736991788843297
ATR,0.8289979804658242,0.8384311152899772,0.8188992914210133,0.8275193835634793,0.33466007722434804,,,0.6489930829507256,0.06492351928505002,0.028070052846346488,0.8268522650417653,0.8310845572421548,0.8385125084501766,-0.06450329687097557,0.05550097177329397,0.025926618821418564,0.08638290820638093,1.0,-0.03959142636836271,-0.036627703315556336,0.7627937743179951,0.5869073907057216,-0.015517991526269035,0.01136518910440912,-0.01567158361016989,0.3574901409750843
Stoch_K,0.10680392364951834,0.12470528670423768,0.12644147452322757,0.1583604746877345,0.12260411942390106,,,-0.15619143031850188,0.18445671631353755,0.13227779478971052,-0.18046793866788194,-0.113205810266739,-0.09717203220089768,0.8762197058601409,0.5528482506057759,0.291701978425831,0.7802974519244503,-0.03959142636836271,1.0,0.908477034269537,0.06906575072762172,0.10602616151448195,0.07384225849859598,0.8233416893374773,0.4469144837298144,0.1983528405709497
Stoch_D,0.15443412400577047,0.15047993593783748,0.15397480909661138,0.16365611461764396,0.08721283977318342,,,-0.1634204662527666,0.18604474745736344,0.12905029287671058,-0.18685566864999317,-0.12179691977371579,-0.08077733402328365,0.8675743813078148,0.6701386673579078,0.399157568680047,0.8366154981309659,-0.036627703315556336,0.908477034269537,1.0,0.07052537163790779,0.12178243545932056,0.012930233455993968,0.8260016437141972,0.1334992187390933,0.1925979876878703
