Date,Company,Ticker,Sentiment,Title
2024-09-20,companhia_siderurgica_nacional,SID,-0.8402,Is Trump’s Whole Political Career Just a Cockeyed Revenge Plot Against the NFL?
2024-09-21,companhia_siderurgica_nacional,SID,-0.9361,LAWLESS KINGDOM: A Rape Is Reported Every Hour in London
2024-09-22,companhia_siderurgica_nacional,SID,-0.296,403-Powered 1990 Chevrolet Corvette ZR-1 at No Reserve
2024-09-22,companhia_siderurgica_nacional,SID,-0.5411,8 Best New Horror Movies on Netflix in October 2024
2024-09-23,companhia_siderurgica_nacional,SID,-0.8957,"CLOWN On SLIPKNOT's Lineup Changes Over The Years: ""We're Not That Close Anymore"""
2024-09-23,aes_andes,AES,-0.1742,Kryptina Ransomware Resurfaces in Enterprise Attacks By Mallox
2024-09-23,aes_andes,AES,-0.9042,Perioperative PD-1/PD-L1 inhibitors for resectable non-small cell lung cancer: A meta-analysis based on randomized controlled trials
2024-09-23,pampa_energia,PAM,-0.1511,McCaskill: Trump 'Can't Put Three Sentences Together About His Policies'
2024-09-23,pampa_energia,PAM,-0.4215,Brinkley: 'Doomsday Scenario if Trump Gets In — People Better Wake Up'
2024-09-23,vale,VALE,-0.1027,Man's Reaction to Learning He's About To Be a Dad—for 4th Time in 5 Years
2024-09-23,companhia_siderurgica_nacional,SID,-0.2023,"Take-Two Interactive re-elects board members, passes executive pay"
2024-09-23,pampa_energia,PAM,-0.0624,32 Times Michael Scott Wasn't The Problem In The Office
2024-09-23,companhia_siderurgica_nacional,SID,-0.7096,"Vulnerability Summary for the Week of September 16, 2024"
2024-09-23,companhia_siderurgica_nacional,SID,-0.6597,"""What Are You Teaching To Kids?"" Ex-Pak Star To PCB After India's Test Win"
2024-09-23,petrobras,PBR,-0.9442,"Twin Insurgency, Irregular War, and Oil Theft in Nigeria and Brazil: An Overview"
2024-09-23,vale,VALE,-0.1406,Teens ditch muck-up day for wholesome 'senior sunrise' to mark the end of high school
2024-09-23,pampa_energia,PAM,-0.5267,New Ryan Coogler Movie Starring Michael B. Jordan Unveils Title
2024-09-24,petrobras,PBR,-0.9092,Amazon: Who should pay for its protection?
2024-09-24,pampa_energia,PAM,-0.7351,BYBBA Partners With 4Ocean To Combat Plastic Pollution - Print & Promo Marketing
2024-09-24,pampa_energia,PAM,-0.6705,"All 33 Sebastian Stan movies, ranked by critics"
2024-09-24,aes_andes,AES,-0.7976,Battling e-commerce fraud: how businesses can stay ahead in the digital age (Darya Lyhach)
2024-09-24,vale,VALE,-0.2263,OpenAI released its advanced voice mode to more people. Here’s how to get it.
2024-09-24,companhia_siderurgica_nacional,SID,-0.8422,"Stream It Or Skip It: ‘Murder In A Small Town’ On Fox, Where A Harbor Town’s New Police Chief Solves Murders And Falls For The Librarian"
2024-09-24,petrobras,PBR,-0.8519,The true cost of protecting the Amazon and who should pay
2024-09-24,vale,VALE,-0.3291,"There's No Wrong Way To Tackle Visions Of Mana's Bosses, But There's A Right Way For You"
2024-09-24,aes_andes,AES,-0.3612,Reading The Wheel of Time: Elayne Meets Some Children and Learns About Her Own in Crossroads of Twilight (Part 9)
