Date,Close,EMA20,SMA50,RSI,OBV,MACD,Stoch_D,Stoch_K,ROC,Volume_SMA20,Daily_Return,Year,Month,Day
2023-05-16,7.245534420013428,7.22217347737453,6.7455254173278805,54.27790268254678,12313400,0.14179167513709423,50.863098199763236,36.17021463990845,-1.0457509614753424,223120.0,-0.015604639534776754,2023,5,16
2023-05-17,7.1689629554748535,7.21710580862218,6.763902454376221,50.973109964843395,12140400,0.12106451469752777,39.00703937138437,19.148842259014586,-1.7060349521936375,211840.0,-0.010568090647264161,2023,5,17
2023-05-18,7.082820892333984,7.204316768975685,6.778259525299072,47.47135469308243,11940800,0.09657390231116025,25.219340769978505,20.33896541101241,-3.141359310540677,211900.0,-0.012015972697289934,2023,5,18
2023-05-19,7.06367826461792,7.190922625703517,6.796445150375366,46.70352433040277,11577100,0.07475849606744056,18.812321837953892,16.949157843834605,-3.780967871967484,220065.0,-0.0027026841433733795,2023,5,19
2023-05-22,7.044535636901856,7.176981007722406,6.816353616714477,45.90393271042503,11383400,0.05528765767045307,16.94915784383468,13.559350276656959,-1.7356390226284188,220205.0,-0.002710008440212963,2023,5,22
2023-05-23,7.11153507232666,7.17074806149424,6.83779351234436,49.18322375570425,11618900,0.04474735283296294,18.644075700606493,25.423718981327845,-2.748688581620613,217410.0,0.009510837744057365,2023,5,23
2023-05-24,7.073249340057373,7.161462468976443,6.855979127883911,47.41443743908924,11351000,0.03292520541079291,19.209029555286552,18.644019407874783,-5.012860425371528,222340.0,-0.005383610131976968,2023,5,24
2023-05-25,7.073249340057373,7.153061218603199,6.87378189086914,47.41443743908924,11616100,0.023287623180765493,21.355905033573563,19.999976711517995,-4.3984496410804,226775.0,0.0,2023,5,25
2023-05-26,7.140249252319336,7.151841031338069,6.891776084899902,50.991575961103166,11789900,0.020816147218813086,23.436893848698674,31.666685426703168,-2.22804815772963,220295.0,0.009472296117503998,2023,5,26
2023-05-30,6.996678352355957,7.137063633339773,6.9124502658844,44.07297238089678,11497200,0.007189635317424781,20.448023385713174,9.677408018918284,-4.941481063119394,227385.0,-0.02010726725215417,2023,5,30
2023-05-31,6.833964824676514,7.108197080133749,6.928721609115601,37.81138408419746,11202500,-0.01654833644660858,17.48506260461038,11.11109436820962,-5.680320753153655,234035.0,-0.023255825047989176,2023,5,31
2023-06-01,6.958393096923828,7.0939300341137566,6.950735788345337,44.32540740195167,11537400,-0.025031975382215244,18.743850952091236,35.44305046914574,-2.9372429437679775,236340.0,0.018207332849888402,2023,6,1
2023-06-02,6.996678352355957,7.0846679691844425,6.972175674438477,46.19296764127097,11943800,-0.028339341916868932,29.370855933409995,41.55842296287456,-1.216217962976627,243865.0,0.0055020253812700926,2023,6,2
2023-06-05,7.054106712341309,7.081757373294621,6.9982098197937015,48.958752533576664,12105000,-0.02602644832647716,42.11737110571578,49.350639885126974,-0.13550379728583323,240880.0,0.008207946270105904,2023,6,5
2023-06-06,7.140249252319336,7.087328028439831,7.022138271331787,52.871975037121985,12393400,-0.017045984936025604,55.170761468187614,74.60322155656124,1.358693040263671,248705.0,0.012211686538186273,2023,6,6
